style,spec,term,coef_target,tstat_target,r2_target,adj_r2_target,coef,tstat,pvalue,nobs,r2,adj_r2,tstat_type,coef_diff,tstat_diff,r2_diff,adj_r2_diff,coef_abs_diff,tstat_abs_diff,same_coef_sign,target_sig_5pct,rep_sig_5pct,sig_match_5pct
Fund of Funds,model2,PTFSFX,0.013,2.36,0.58,0.56,0.011755769141036536,2.202060586867777,0.02899917345007588,180,0.5203510449344276,0.49791132773837743,ols,-0.0012442308589634635,-0.15793941313222293,-0.05964895506557233,-0.062088672261622624,0.0012442308589634635,0.15793941313222293,True,True,True,True
Fund of Funds,model2,PTFSCOM,0.0134,1.77,0.58,0.56,0.015297594387352393,2.046759509347666,0.042212252087715424,180,0.5203510449344276,0.49791132773837743,ols,0.0018975943873523922,0.276759509347666,-0.05964895506557233,-0.062088672261622624,0.0018975943873523922,0.276759509347666,True,False,True,False
Fund of Funds,model2,Liquidity,0.7393,3.71,0.58,0.56,0.3858303168222553,1.955479812452926,0.05215618145512803,180,0.5203510449344276,0.49791132773837743,ols,-0.35346968317774463,-1.754520187547074,-0.05964895506557233,-0.062088672261622624,0.35346968317774463,1.754520187547074,True,True,False,False
Global Macro,model1,Intercept,0.0032,2.58,0.18,0.17,0.0038057136285332563,2.946834994926603,0.0036429775171152147,180,0.11133240874601413,0.10129096703692964,ols,0.0006057136285332562,0.36683499492660276,-0.06866759125398586,-0.06870903296307038,0.0006057136285332562,0.36683499492660276,True,True,True,True
Global Macro,model1,MKT-RF,0.157,5.69,0.18,0.17,0.1335376392815772,4.539625157414624,1.0382726052883176e-05,180,0.11133240874601413,0.10129096703692964,ols,-0.02346236071842281,-1.1503748425853768,-0.06866759125398586,-0.06870903296307038,0.02346236071842281,1.1503748425853768,True,True,True,True
Global Macro,model1,Liquidity,0.4228,1.79,0.18,0.17,0.1509197329411109,0.6136385181170572,0.5402420292532949,180,0.11133240874601413,0.10129096703692964,ols,-0.2718802670588891,-1.1763614818829429,-0.06866759125398586,-0.06870903296307038,0.2718802670588891,1.1763614818829429,True,False,False,True
Global Macro,model2,Intercept,0.003,2.7,0.37,0.34,0.003466968589219319,2.9346160875116136,0.0037985336008739077,180,0.3058309768616325,0.2733552330890773,ols,0.00046696858921931907,0.23461608751161345,-0.06416902313836748,-0.06664476691092275,0.00046696858921931907,0.23461608751161345,True,True,True,True
Global Macro,model2,MKT-RF,0.1554,5.68,0.37,0.34,0.13825954084542383,4.758919926750068,4.123262573895704e-06,180,0.3058309768616325,0.2733552330890773,ols,-0.017140459154576182,-0.9210800732499314,-0.06416902313836748,-0.06664476691092275,0.017140459154576182,0.9210800732499314,True,True,True,True
Global Macro,model2,SMB,0.0185,0.61,0.37,0.34,0.03443154176182683,1.0657773416282397,0.2880268022343044,180,0.3058309768616325,0.2733552330890773,ols,0.015931541761826828,0.4557773416282397,-0.06416902313836748,-0.06664476691092275,0.015931541761826828,0.4557773416282397,True,False,False,True
Global Macro,model2,DTERM,-0.0137,-2.56,0.37,0.34,-0.013375839944561409,-2.349685613748377,0.01993080446593711,180,0.3058309768616325,0.2733552330890773,ols,0.00032416005543859164,0.21031438625162302,-0.06416902313836748,-0.06664476691092275,0.00032416005543859164,0.21031438625162302,True,True,True,True
Global Macro,model2,DCREDIT,-0.0217,-2.56,0.37,0.34,-0.014912597298397912,-1.643484839054545,0.10212005205678695,180,0.3058309768616325,0.2733552330890773,ols,0.006787402701602089,0.9165151609454552,-0.06416902313836748,-0.06664476691092275,0.006787402701602089,0.9165151609454552,True,True,False,False
Global Macro,model2,PTFSBD,-0.0065,-0.86,0.37,0.34,-0.011678870868228067,-1.4478842360446686,0.1494803938830237,180,0.3058309768616325,0.2733552330890773,ols,-0.005178870868228067,-0.5878842360446687,-0.06416902313836748,-0.06664476691092275,0.005178870868228067,0.5878842360446687,True,False,False,True
Global Macro,model2,PTFSFX,0.0337,5.49,0.37,0.34,0.0326973661580383,5.0427006545370805,1.1624173578230264e-06,180,0.3058309768616325,0.2733552330890773,ols,-0.0010026338419616976,-0.4472993454629197,-0.06416902313836748,-0.06664476691092275,0.0010026338419616976,0.4472993454629197,True,True,True,True
Global Macro,model2,PTFSCOM,0.0139,1.65,0.37,0.34,0.01748241101645173,1.9258267031265102,0.055784936647073305,180,0.3058309768616325,0.2733552330890773,ols,0.0035824110164517295,0.27582670312651025,-0.06416902313836748,-0.06664476691092275,0.0035824110164517295,0.27582670312651025,True,False,False,True
Global Macro,model2,Liquidity,0.3772,1.69,0.37,0.34,0.17075691807602736,0.7125371257824038,0.47710334788957076,180,0.3058309768616325,0.2733552330890773,ols,-0.20644308192397262,-0.9774628742175961,-0.06416902313836748,-0.06664476691092275,0.20644308192397262,0.9774628742175961,True,False,False,True
